competition,season,type,division,winner
Season 1 1div,1,league,1,Malaga CF
Season 1 copa,1,cup,,Malaga CF
Season 2 1div,2,league,1,Haxeritos
Season 2 copa,2,cup,,Haxeritos
Season 3 1div,3,league,1,V Destroyers
Season 3 2div,3,league,2,Gamberritos FC
Season 3 copa,3,cup,,QS Assurdi
Season 3 supercopa,3,supercup,,Ajax
Summer cup 2024,,summer_cup,,Raimon Junior High
Season 4 1div,4,league,1,Raimon Junior High
Season 4 2div,4,league,2,Ils Sont Tristes
Season 4 copa,4,cup,,Raimon Junior High
Season 4 supercopa,4,supercup,,Cemisgezek United
Season 5 1div,5,league,1,L4st Dance
Season 5 2div,5,league,2,Blue Lock
Season 5 copa,5,cup,,L4st Dance
Season 5 supercopa,5,supercup,,L4st Dance
Season 6 1div,6,league,1,Knattspyrnufelag Reykjavikur
Season 6 2div,6,league,2,River Plate
Season 6 copa,6,cup,,Gamberritos FC
Season 6 supercopa,6,supercup,,Maximilian FC
Nations cup 2025,,nations_cup,,Turkey
Summer cup 2025,,summer_cup,,Knattspyrnufelag Reykjavikur
Season 7 1div,7,league,1,Knattspyrnufelag Reykjavikur
Season 7 2div,7,league,2,Black Dragons
Season 7 3div,7,league,3,Mattilans HT
Season 7 copa,7,cup,,Knattspyrnufelag Reykjavikur
Season 7 supercopa,7,supercup,,Maximilian FC
Season 8 1div,8,league,1,Knattspyrnufelag Reykjavikur
Season 8 2div,8,league,2,CF Talavera
Season 8 3div,8,league,3,Bimbo FC
Season 8 copa,8,cup,,Knattspyrnufelag Reykjavikur
Season 8 supercopa,8,supercup,,Knattspyrnufelag Reykjavikur
Season 9 1div,9,league,1,Knattspyrnufelag Reykjavikur
Season 9 2div,9,league,2,Monos Negros
Season 9 3div,9,league,3,Malaquito de Menfis
Season 9 4div,9,league,4,Albacete
Season 9 copa,9,cup,,Knattspyrnufelag Reykjavikur
Season 9 supercopa,9,supercup,,Brazil
Nations cup 2026,,nations_cup,,Poland
Summer cup 2026,,summer_cup,,Larp Kings
