rank,team,country,power_score,era_points,titles_score,win_rate,gf_per_match,kicks_per_match,passes_per_match,gd_per_match,points,matches,record,gf,ga,gd,competitions
1,"Knattspyrnufélag Reykjavíkur","🇪🇺",97.75,77.78,71.14,0.935,6.677,394.419,167.323,4.355,88,31,"29-1-1",207,72,135,4
2,"Maximilian FC","🇹🇷",61.78,50.23,11.55,0.692,6.038,439.692,201.154,2.577,58,26,"18-4-4",157,90,67,4
3,"QS Assurdi","🇮🇹",49.73,46.51,4.64,0.486,4.838,377.189,146.189,0.378,61,37,"18-6-13",179,165,14,5
4,"Gamberritos FC","🇪🇺",49.59,18.96,9.22,0.889,6.111,451.667,180.889,4.333,24,9,"8-0-1",55,16,39,2
5,"Cemisgezek United","🇹🇷",47.87,43.01,4.55,0.514,3.946,400.216,171.757,0.459,61,37,"19-4-14",146,129,17,5
6,"L4st Dance","🇹🇷",46.83,26.18,18.00,0.611,4.333,456.278,200.056,1.722,35,18,"11-2-5",78,47,31,2
7,"Raimon Junior High","🇳🇱",44.27,8.45,16.74,0.800,6.000,432.600,162.400,4.000,13,5,"4-1-0",30,10,20,1
8,"Málaga CF","🇪🇺",44.15,5.28,7.92,1.000,9.000,412.500,167.000,8.000,12,4,"4-0-0",36,4,32,2
9,"La Mamá de Nico","🇪🇸",40.72,29.41,0.00,0.476,5.000,416.905,166.857,1.048,32,21,"10-2-9",105,83,22,3
10,"Haxeritos","🇪🇸",40.64,12.24,9.18,0.800,4.600,397.600,162.800,1.800,24,10,"8-0-2",46,28,18,1
11,"Xanax","🇹🇷",40.54,3.00,0.00,1.000,8.000,424.000,192.000,3.000,3,1,"1-0-0",8,5,3,1
12,"Brazil","🇮🇹",40.26,9.00,7.00,0.750,7.250,462.000,179.500,2.750,9,4,"3-0-1",29,18,11,1
13,"Ghost Town","🇹🇷",39.76,16.74,0.00,0.667,5.889,451.778,192.889,1.333,18,9,"6-0-3",53,41,12,1
14,"Al Ahly FC","🇫🇷",39.00,9.69,0.00,0.750,6.750,411.250,165.750,3.750,19,8,"6-1-1",54,24,30,1
15,"V Destroyers","🇪🇺",36.93,9.28,5.80,0.714,4.571,427.429,176.000,2.000,16,7,"5-1-1",32,18,14,1
16,"Potatoes FC","🇮🇹",36.62,12.31,0.00,0.600,5.700,419.400,179.000,2.800,17,10,"6-1-3",57,29,28,2
17,"Ajax","🇵🇹",35.42,8.12,4.06,0.667,5.000,429.167,157.333,2.333,14,6,"4-2-0",30,16,14,1
18,"Galaxy HC","🇪🇸",34.17,3.96,0.00,1.000,2.000,414.667,175.667,1.000,9,3,"3-0-0",6,3,3,1
19,"Real Gamers United","🇪🇺",33.83,6.12,0.00,0.800,4.000,414.600,148.600,1.400,12,5,"4-0-1",20,13,7,1
20,"Luton Town FC","🇹🇷",31.63,7.54,0.00,0.571,4.571,425.286,181.714,2.000,13,7,"4-1-2",32,18,14,1
21,"River Plate","🇹🇷",30.64,10.32,3.95,0.571,3.143,420.143,180.286,-0.571,12,7,"4-0-3",22,26,-4,1
