category,rank,team,country,points,era_points,matches,ppg,record,gf,ga,gd,competitions
"Primera division",1,"Knattspyrnufélag Reykjavíkur","🇪🇺",88,77.78,31,2.839,"29-1-1",207,72,135,4
"Primera division",2,"QS Assurdi","🇮🇹",61,46.51,37,1.649,"18-6-13",179,165,14,5
"Primera division",3,"Cemisgezek United","🇹🇷",61,43.01,37,1.649,"19-4-14",146,129,17,5
"Primera division",4,"Maximilian FC","🇹🇷",58,50.23,26,2.231,"18-4-4",157,90,67,4
"Primera division",5,"L4st Dance","🇹🇷",35,26.18,18,1.944,"11-2-5",78,47,31,2
"Primera division",6,"La Mamá de Nico","🇪🇸",32,29.41,21,1.524,"10-2-9",105,83,22,3
"Primera division",7,"Black Dragons","🇪🇸",25,17.93,29,0.862,"8-1-20",80,141,-61,4
"Primera division",8,"Gamberritos FC","🇪🇺",24,18.96,9,2.667,"8-0-1",55,16,39,2
"Primera division",9,"Haxeritos","🇪🇸",24,12.24,10,2.400,"8-0-2",46,28,18,1
"Primera division",10,"Lleida Esportiu","🇪🇸",23,12.01,19,1.211,"7-2-10",53,75,-22,3
"Primera division",11,"Old Farts","🇪🇺",19,16.83,16,1.188,"6-1-9",55,71,-16,2
"Primera division",12,"Al Ahly FC","🇫🇷",19,9.69,8,2.375,"6-1-1",54,24,30,1
"Primera division",13,"Ghost Town","🇹🇷",18,16.74,9,2.000,"6-0-3",53,41,12,1
"Primera division",14,"Potatoes FC","🇮🇹",17,12.31,10,1.700,"6-1-3",57,29,28,2
"Primera division",15,"V Destroyers","🇪🇺",16,9.28,7,2.286,"5-1-1",32,18,14,1
"Primera division",16,"Ajax","🇵🇹",14,8.12,6,2.333,"4-2-0",30,16,14,1
"Primera division",17,"Raimon Junior High","🇳🇱",13,8.45,5,2.600,"4-1-0",30,10,20,1
"Primera division",18,"Boquita Juniors","🇪🇸",13,8.03,14,0.929,"3-4-7",39,43,-4,3
"Primera division",19,"Luton Town FC","🇹🇷",13,7.54,7,1.857,"4-1-2",32,18,14,1
"Primera division",20,"Brentford","🇪🇺",13,6.98,8,1.625,"4-1-3",24,22,2,2
"Primera division",21,"River Plate","🇹🇷",12,10.32,7,1.714,"4-0-3",22,26,-4,1
"Primera division",22,"Haxlock All Stars","🇮🇹",12,9.48,10,1.200,"4-0-6",30,47,-17,1
"Primera division",23,"Real Gamers United","🇪🇺",12,6.12,5,2.400,"4-0-1",20,13,7,1
"Primera division",24,"Málaga CF","🇪🇺",12,5.28,4,3.000,"4-0-0",36,4,32,2
"Primera division",25,"Immortals","🇪🇺",10,9.30,7,1.429,"3-1-3",36,42,-6,1
"Primera division",26,"Esperanza","🇹🇷",10,7.90,10,1.000,"3-1-6",38,49,-11,1
"Primera division",27,"Brazil","🇮🇹",9,9.00,4,2.250,"3-0-1",29,18,11,1
"Primera division",28,"Knattspyrnufélag Garðabæjar","🇪🇺",9,8.37,8,1.125,"3-0-5",37,36,1,1
"Primera division",29,"UD Fonteta","🇪🇸",9,4.59,10,0.900,"3-0-7",25,42,-17,1
"Primera division",30,"Galaxy HC","🇪🇸",9,3.96,3,3.000,"3-0-0",6,3,3,1
"Primera division",31,"Salford","🇹🇷",7,6.51,9,0.778,"2-1-6",30,60,-30,2
"Primera division",32,"Getafe CF","🇪🇸",7,5.53,17,0.412,"1-4-12",21,69,-48,2
"Primera division",33,"Saber FC","🇳🇱",6,6.00,6,1.000,"2-0-4",31,34,-3,1
"Primera division",34,"Palomares CF","🇪🇸",6,4.32,7,0.857,"2-0-5",15,30,-15,1
"Primera division",35,"Giresunspor FC","🇹🇷",6,3.90,4,1.500,"2-0-2",16,19,-3,1
"Primera division",36,"Atletic Lleida","🇪🇸",5,2.69,15,0.333,"1-2-12",26,69,-43,2
"Primera division",37,"Snake Island","🇮🇹",4,4.00,6,0.667,"1-1-4",24,39,-15,1
"Primera division",38,"Paw Patrol","🇪🇸",4,3.16,9,0.444,"1-1-7",12,33,-21,1
"Primera division",39,"Ils Sont Tristes","🇹🇷",4,2.88,6,0.667,"1-1-4",14,29,-15,1
"Primera division",40,"Xanax","🇹🇷",3,3.00,1,3.000,"1-0-0",8,5,3,1
"Primera division",41,"Kamikaze FC","🇪🇺",3,2.79,8,0.375,"1-0-7",22,49,-27,1
"Primera division",42,"Inter Futsal","🇵🇹",3,2.58,6,0.500,"1-0-5",15,37,-22,1
"Primera division",43,"SL Benfica","🇹🇷",3,1.74,2,1.500,"1-0-1",9,6,3,1
"Primera division",44,"Benfica","🇲🇦",3,1.53,7,0.429,"1-0-6",13,47,-34,1
"Primera division",45,"Husaria","🇵🇱",1,1.00,1,1.000,"0-1-0",6,6,0,1
"Primera division",46,"Dark Knights","🇪🇺",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Primera division",47,"Polska Gurom","🇵🇱",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Primera division",48,"Predators Haxball","🇹🇷",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Primera division",49,"Brasil","🇮🇹",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Primera division",50,"Harissa FC","🇹🇳",0,0.00,1,0.000,"0-0-1",0,1,-1,1
"Primera division",51,"FC CHRG","🇲🇦",0,0.00,6,0.000,"0-0-6",13,32,-19,1
"Primera division",52,"Newells Old Boys","🇪🇺",0,0.00,5,0.000,"0-0-5",7,31,-24,1
"Primera division",53,"Canarios FC","🇲🇦",0,0.00,4,0.000,"0-0-4",3,30,-27,2
"Primera division",54,"20th Century Boys","🇲🇦",0,0.00,5,0.000,"0-0-5",2,32,-30,1
"Segunda division",1,"Deportivo Reyes","🇪🇸",84,72.87,46,1.826,"26-6-14",196,133,63,5
"Segunda division",2,"Black Dragons","🇪🇸",34,25.46,16,2.125,"11-1-4",58,30,28,2
