rank,team,country,score,best_league_division,first_division_share,titles_score,matches,weighted_matches,record,points,ppg,gf,ga,gd,gf_per_match,ga_per_match,win_rate,adjusted_kicks_per_match,adjusted_passes_per_match,weighted_passes_per_kick,adjusted_gd_per_match,cs_rate,possession,passes_per_match,shots_per_match,competitions
1,"Knattspyrnufélag Reykjavíkur","🇪🇺",83.27,1,0.573,71.14,61,47.66,"43.52-0.86-3.28",131.43,2.758,303.24,100.67,202.57,6.363,2.112,0.913,315.95,137.35,0.435,3.32,0.716,51.97,175.81,20.99,13
2,"Ghost Town","🇹🇷",76.47,1,0.698,0.00,14,12.00,"8.56-0.65-2.79",26.32,2.194,76.45,46.69,29.76,6.372,3.891,0.713,369.93,160.16,0.433,2.13,0.434,53.40,186.90,21.78,3
3,"Poland","🇵🇱",75.08,,0.000,8.00,6,4.80,"4.00-0.80-0.00",12.80,2.667,38.40,16.00,22.40,8.000,3.333,0.833,316.13,147.33,0.466,3.73,0.167,51.70,184.17,21.33,1
4,"Maximilian FC","🇹🇷",74.52,1,0.701,11.55,41,32.39,"21.77-3.58-7.04",68.89,2.127,197.00,122.81,74.19,6.081,3.791,0.672,340.09,157.66,0.464,1.81,0.394,53.40,199.55,21.78,13
5,"Larp Kings","🇵🇱",74.00,,0.000,7.00,6,4.20,"3.50-0.00-0.70",10.50,2.500,26.60,11.20,15.40,6.333,2.667,0.833,311.27,148.28,0.476,2.57,0.833,56.32,211.83,27.67,1
6,"Brazil","🇮🇹",70.33,1,0.333,7.00,15,12.00,"9.50-0.00-2.50",28.50,2.375,71.60,45.60,26.00,5.967,3.800,0.792,324.81,134.62,0.414,1.73,0.558,49.59,168.28,23.72,4
7,"Turkey","🇹🇷",69.99,,0.000,7.44,10,7.25,"6.45-0.00-0.80",19.36,2.669,54.62,22.01,32.62,7.531,3.034,0.890,283.04,126.90,0.448,3.26,0.649,54.36,174.95,25.07,2
8,"L4st Dance","🇹🇷",68.79,1,0.588,18.00,34,23.25,"15.25-1.58-6.42",47.34,2.036,110.68,66.10,44.58,4.760,2.843,0.656,310.13,137.71,0.444,1.31,0.598,53.58,201.37,18.90,7
9,"Immortals","🇪🇺",67.51,1,0.745,0.00,10,8.74,"4.28-0.93-3.53",13.76,1.574,49.10,46.50,2.60,5.617,5.319,0.489,357.79,151.03,0.422,0.26,0.383,51.48,172.77,21.98,2
10,"Scizors","🇫🇷",67.41,,0.000,0.00,8,5.60,"4.20-0.00-1.40",12.60,2.250,33.60,15.40,18.20,6.000,2.750,0.750,295.84,132.04,0.446,2.27,0.625,52.09,188.63,22.25,1
11,"Saber FC","🇳🇱",65.87,1,0.444,0.00,16,13.50,"6.50-0.00-7.00",19.50,1.444,83.90,58.40,25.50,6.215,4.326,0.481,332.98,137.91,0.414,1.59,0.289,51.99,163.45,22.88,3
12,"La Mamá de Nico","🇪🇸",65.75,1,0.673,0.00,34,28.82,"14.31-1.93-12.58",44.87,1.557,137.30,115.31,21.99,4.764,4.001,0.497,345.94,140.96,0.407,0.65,0.552,50.45,166.29,15.18,9
13,"Netherlands","🇳🇱",65.15,,0.000,0.00,5,3.25,"1.95-0.65-0.65",6.51,2.000,17.57,10.41,7.16,5.400,3.200,0.600,341.47,122.85,0.360,1.43,0.600,52.14,188.80,32.00,1
14,"Ukraine","🇺🇦",64.37,,0.000,0.00,5,4.00,"1.60-0.00-2.40",4.80,1.200,20.00,24.00,-4.00,5.000,6.000,0.400,363.68,149.12,0.410,-0.80,0.200,51.88,186.40,21.40,1
15,"Turkey 2","🇹🇷",64.33,,0.000,0.00,5,3.25,"2.60-0.00-0.65",7.81,2.400,17.57,5.86,11.71,5.400,1.800,0.800,265.73,121.02,0.455,2.34,0.600,57.78,186.00,26.00,1
