rank,team,country,score,matches,weighted_matches,weighted_points,weighted_win_rate,adjusted_kicks_per_match,adjusted_passes_per_match,weighted_passes_per_kick,adjusted_gd_per_match,title_score
1,"Knattspyrnufélag Reykjavíkur","🇪🇺",83.27,61,47.66,131.43,0.913,315.95,137.35,0.435,3.32,71.14
2,"Ghost Town","🇹🇷",76.47,14,12.00,26.32,0.713,369.93,160.16,0.433,2.13,0.00
3,"Maximilian FC","🇹🇷",74.52,41,32.39,68.89,0.672,340.09,157.66,0.464,1.81,11.55
4,"Brazil","🇮🇹",70.33,15,12.00,28.50,0.792,324.81,134.62,0.414,1.73,7.00
5,"Turkey","🇹🇷",69.99,10,7.25,19.36,0.890,283.04,126.90,0.448,3.26,7.44
6,"L4st Dance","🇹🇷",68.79,34,23.25,47.34,0.656,310.13,137.71,0.444,1.31,18.00
7,"Immortals","🇪🇺",67.51,10,8.74,13.76,0.489,357.79,151.03,0.422,0.26,0.00
8,"Saber FC","🇳🇱",65.87,16,13.50,19.50,0.481,332.98,137.91,0.414,1.59,0.00
9,"La Mamá de Nico","🇪🇸",65.75,34,28.82,44.87,0.497,345.94,140.96,0.407,0.65,0.00
10,"Spain","🇪🇸",63.69,11,8.05,16.26,0.640,289.59,132.07,0.456,1.31,0.00
11,"Esperanza","🇹🇷",61.21,10,7.90,7.90,0.300,360.16,141.09,0.392,-0.87,0.00
12,"Knattspyrnufélag Garðabæjar","🇪🇺",60.58,13,11.16,15.07,0.450,322.24,132.07,0.410,-0.10,0.00
13,"Potatoes FC","🇮🇹",60.44,13,9.07,14.04,0.540,289.03,122.49,0.424,1.26,0.00
14,"Gamberritos FC","🇪🇺",59.84,25,14.54,36.39,0.827,249.89,98.75,0.395,1.78,9.22
15,"Italy","🇮🇹",59.78,11,8.05,17.86,0.739,269.50,117.70,0.437,0.54,0.00
16,"Monos negros","🇪🇸",59.73,12,7.20,15.60,0.722,252.10,110.53,0.438,1.57,5.00
17,"Salford","🇹🇷",59.29,14,12.21,10.97,0.274,357.06,151.70,0.425,-2.62,0.00
18,"River Plate","🇹🇷",57.38,28,17.46,33.07,0.631,258.79,114.53,0.443,0.43,3.95
19,"Raimon Junior High","🇳🇱",56.79,16,8.35,21.07,0.815,226.87,83.01,0.366,2.05,16.74
20,"Cemisgezek United","🇹🇷",56.07,56,36.99,60.40,0.519,265.72,114.13,0.430,0.33,4.55
21,"Old Farts","🇪🇺",55.87,42,30.27,46.44,0.496,284.76,114.42,0.402,0.06,0.00
22,"Scizors","🇫🇷",53.93,8,5.60,12.60,0.750,295.84,132.04,0.446,2.27,0.00
23,"QS Assurdi","🇮🇹",52.49,76,50.22,87.56,0.542,247.03,98.85,0.400,0.39,4.64
24,"Haxlock All Stars","🇮🇹",52.30,26,15.12,26.45,0.583,239.18,102.30,0.428,0.24,0.00
25,"Al Ahly FC","🇫🇷",51.62,10,4.90,10.91,0.708,204.59,83.05,0.406,2.06,0.00
26,"Haxeritos","🇪🇸",51.37,12,5.92,14.69,0.828,196.79,79.87,0.406,0.90,9.18
27,"V Destroyers","🇪🇺",50.83,9,4.99,12.06,0.767,237.77,97.96,0.412,1.16,5.80
28,"Ajax","🇵🇹",49.08,11,5.63,11.87,0.634,216.09,78.41,0.363,1.05,4.06
29,"Vinotinto","🇪🇸",46.57,28,12.89,25.28,0.644,192.40,80.64,0.419,0.44,0.00
30,"Snake Island","🇮🇹",46.22,8,7.60,6.40,0.237,344.80,143.03,0.415,-1.88,0.00
31,"Kamikaze FC","🇪🇺",46.07,19,13.00,11.30,0.290,253.42,102.35,0.404,-1.41,0.00
32,"Getafe CF","🇪🇸",45.15,20,15.80,7.43,0.090,296.20,104.87,0.354,-2.16,0.00
33,"Poland","🇵🇱",45.05,6,4.80,12.80,0.833,316.13,147.33,0.466,3.73,8.00
34,"Luton Town FC","🇹🇷",44.60,9,4.93,7.54,0.471,230.90,96.26,0.417,0.50,0.00
35,"Larp Kings","🇵🇱",44.40,6,4.20,10.50,0.833,311.27,148.28,0.476,2.57,7.00
36,"Black Dragons","🇪🇸",43.87,59,35.74,38.98,0.355,225.24,88.46,0.393,-1.05,4.30
37,"Paw Patrol","🇪🇸",43.55,10,7.74,3.16,0.102,274.68,99.90,0.364,-1.85,0.00
38,"Deportivo Reyes","🇪🇸",43.34,62,31.38,51.16,0.501,192.81,73.78,0.383,0.50,0.00
39,"O11CE","🇪🇺",41.71,10,4.82,8.94,0.589,152.93,66.62,0.436,0.95,0.00
40,"Boquita Juniors","🇪🇸",41.47,19,10.81,11.15,0.270,216.99,77.21,0.356,0.08,0.00
41,"Grosse Condanne","🇮🇹",41.28,15,6.21,9.75,0.504,180.82,68.04,0.376,0.37,0.00
42,"Malaquito de Menfis","🇪🇸",40.97,18,7.94,8.88,0.345,181.68,82.70,0.455,-0.38,2.00
43,"Opium","🇪🇸",40.75,11,4.58,9.48,0.690,162.20,56.05,0.346,0.60,0.00
44,"Inter Futsal","🇵🇹",39.72,8,6.54,4.64,0.237,296.06,117.05,0.395,-2.02,0.00
45,"Pizzza FC","🇮🇹",39.60,16,7.32,11.90,0.542,176.07,63.82,0.362,-0.22,0.00
46,"FC Santa Claus","🇮🇹",39.53,21,10.66,10.37,0.309,187.36,79.34,0.423,-0.54,0.00
47,"United Kingdom","🇬🇧",38.35,8,5.95,4.80,0.269,268.32,101.15,0.377,-0.63,0.00
48,"Blue Lock","🇪🇸",38.30,9,3.46,7.92,0.729,144.75,59.98,0.414,1.06,3.60
49,"Morocco","🇲🇦",37.92,8,5.80,4.35,0.250,269.97,110.48,0.409,-1.78,0.00
50,"Lleida Esportiu","🇪🇸",37.85,37,17.58,20.87,0.360,178.10,68.02,0.382,-0.31,0.00
51,"CF Talavera","🇪🇸",37.49,8,4.00,8.37,0.698,189.05,75.54,0.400,0.50,4.65
52,"Los Pollos Hermanos","🇮🇹",37.16,9,4.80,3.50,0.208,220.52,88.08,0.399,-0.81,0.00
53,"Skibidi Toilet","🇪🇺",36.86,10,3.64,6.44,0.589,141.29,55.56,0.393,-0.08,0.00
54,"Mattilans HT","🇮🇹",36.77,22,9.95,16.93,0.540,154.36,55.38,0.359,-0.25,1.72
55,"Juventudes Alienígenas","🇪🇺",35.95,11,3.20,6.20,0.625,130.79,51.33,0.392,-0.05,0.00
56,"Ils Sont Tristes","🇹🇷",35.79,15,7.69,8.73,0.347,173.06,61.93,0.358,-0.75,3.25
57,"Palomares CF","🇪🇸",35.58,18,9.06,9.20,0.302,180.99,65.41,0.361,-0.91,0.00
58,"Algeria","🇩🇿",35.58,7,5.30,7.20,0.453,262.52,103.11,0.393,-0.45,0.00
59,"Bimbo FC","🇪🇸",35.45,23,10.16,13.04,0.428,148.78,59.81,0.402,-0.47,1.86
60,"Brentford","🇪🇺",35.24,13,6.47,9.61,0.473,155.67,54.92,0.353,-0.42,0.00
61,"Giresunspor FC","🇹🇷",34.99,7,4.31,7.32,0.566,242.68,96.72,0.399,-0.44,0.00
62,"CD Quinto","🇪🇸",33.15,9,4.46,2.79,0.208,195.34,73.47,0.376,-0.86,0.00
63,"Netherlands","🇳🇱",32.57,5,3.25,6.51,0.600,341.47,122.85,0.360,1.43,0.00
64,"EDF","🇫🇷",32.31,10,4.93,4.65,0.283,153.33,59.19,0.386,-1.00,0.00
65,"Predators Eagles","🇹🇷",32.19,6,2.63,6.58,0.833,211.29,88.10,0.417,1.46,0.00
66,"Ukraine","🇺🇦",32.19,5,4.00,4.80,0.400,363.68,149.12,0.410,-0.80,0.00
67,"Turkey 2","🇹🇷",32.16,5,3.25,7.81,0.800,265.73,121.02,0.455,2.34,0.00
68,"Romania","🇷🇴",31.95,5,3.70,6.30,0.568,308.71,130.45,0.423,1.46,0.00
69,"Málaga CF","🇪🇺",31.94,6,2.46,7.39,1.000,169.52,66.70,0.393,3.40,7.92
